SEASON,NAME,CLASS,CODE,URL,DUST,RATING,UPLOADER,DATE,FORMAT,TYPE,STYLE
50,Thijs’ #8 Legend Hadronox Cube Taunt Druid – Post Nerf Witchwood,Druid,AAEBAZICBofOAsLOAq/TAubTAvHqAt3rAgxAX+kBxAbkCMnHApTSApjSAp7SAovhAoTmAo3wAgA=,https://www.hearthstonetopdecks.com/decks/thijs-8-legend-hadronox-cube-taunt-druid-post-nerf-witchwood/,8960,60,Thijsnl,"May 30, 2018",Raven,Control,Ladder
50,Chakki’s #9 Legend Odd Paladin – Post Nerf Witchwood,Paladin,AAEBAZ8FBK8EpwXxBZ74Ag1G9QX5CpvCAuvCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAgA=,https://www.hearthstonetopdecks.com/decks/chakkis-9-legend-odd-paladin-post-nerf-witchwood/,5980,12,Chakki,"May 31, 2018",Raven,Aggro,Ladder
50,Jengo’s #5 Legend Cube Warlock – Post Nerf Witchwood,Warlock,AAEBAf0GBMnCApfTAtvpApz4Ag2KAZME9wS2B+EHm8IC58sC8tAC+NACiNICi+EC/OUC6OcCAA==,https://www.hearthstonetopdecks.com/decks/jengos-5-legend-cube-warlock-post-nerf-witchwood/,11560,8,Evident,"May 31, 2018",Raven,Combo,Ladder
50,Hoej’s #9 Legend Control Warlock – Post Nerf Witchwood,Warlock,AAEBAf0GDqICkwS6BNsGigfMCMrDAvjQApfTAvzlAurmAtjnAtvpApz4Agi2B5vCAufLAq7NAvLQAojSAtjlAujnAgA=,https://www.hearthstonetopdecks.com/decks/hoejs-9-legend-control-warlock-post-nerf-witchwood/,11520,12,Hoej,"May 31, 2018",Raven,Control,Ladder
50,Meati’s #15 Legend Shudderwock Shaman – Post Nerf Witchwood,Shaman,AAEBAaoICN4F08UCnccCnOICq+cCw+oCp+4C7/cCC/kDgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,https://www.hearthstonetopdecks.com/decks/meatis-15-legend-shudderwock-shaman-post-nerf-witchwood/,12220,8,Meati,"May 31, 2018",Raven,Combo,Ladder
50,Mryagut’s #8 Legend Tempo Rogue – Post Nerf Witchwood,Rogue,AAEBAaIHBLICrwSFCNvjAg20AYwCmQLNA/YEmwWIB90IhgmBwgLrwgLc0QKm7wIA,https://www.hearthstonetopdecks.com/decks/mryaguts-8-legend-tempo-rogue-post-nerf-witchwood/,6520,17,MrYagut,"May 29, 2018",Raven,Tempo,Ladder
51,YuYi’s Miracle Rogue – HCT Summer Championship 2018,Rogue,AAEBAaIHBLIC7QKvBNQFDbQBjALNA/YEmwWXBogHhgmBwgLrwgLc0QLb4wKm7wIA,https://www.hearthstonetopdecks.com/decks/yuyis-miracle-rogue-hct-summer-championship-2018/,6400,8,YuYi,"June 21, 2018",Raven,Tempo,Tournament
51,YuYi’s Cube Druid – HCT Summer Championship 2018,Druid,AAEBAZICBMQGws4Cr9MC8eoCDUBf6QHkCMnHApTSApjSAp7SAubTAovhAoTmAt3rAo3wAgA=,https://www.hearthstonetopdecks.com/decks/yuyis-cube-druid-hct-summer-championship-2018/,8960,6,YuYi,"June 21, 2018",Raven,Control,Tournament
51,XiaoT’s Even Warlock – HCT Summer Championship 2018,Warlock,AAEBAf0GBvsH+AygzgLCzgKX0wLN9AIMmQLyBfsGtgfhB40I5sIC58sC8dAC/dACiNIC2OUCAA==,https://www.hearthstonetopdecks.com/decks/xiaots-even-warlock-hct-summer-championship-2018/,9120,1,XiaoT,"June 21, 2018",Raven,Control,Tournament
51,XiaoT’s Miracle Rogue – HCT Summer Championship 2018,Rogue,AAEBAaIHBrIC7QKvBPYE1AWkBwy0AYwCzQObBZcGiAeGCYHCAuvCAtzRAtvjAqbvAgA=,https://www.hearthstonetopdecks.com/decks/xiaots-miracle-rogue-hct-summer-championship-2018/,6500,1,XiaoT,"June 21, 2018",Raven,Midrange,Tournament
51,Turna’s Even Warlock – HCT Summer Championship 2018,Warlock,AAEBAf0GCIoH+wf4DKDOAsLOApfTAurmAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,https://www.hearthstonetopdecks.com/decks/turnas-even-warlock-hct-summer-championship-2018/,9680,8,Turna,"June 21, 2018",Raven,Control,Tournament
51,Viper’s Even Warlock – HCT Summer Championship 2018,Warlock,AAEBAf0GCIoBigf7B/gMoM4Cws4Cl9MCzfQCC/IF+wa2B+EHjQjmwgLnywLx0AL90AKI0gLY5QIA,https://www.hearthstonetopdecks.com/decks/vipers-even-warlock-hct-summer-championship-2018/,9320,1,Viper,"June 21, 2018",Raven,Control,Tournament
51,Viper’s Battlecry Shaman – HCT Summer Championship 2018,Shaman,AAEBAaoICpUB9QT4DNPFAqvnAuDqAqfuAu/xAoH2Au/3AgqBBP4F/wWyBvYH+wyXwQLHwQKbywLz5wIA,https://www.hearthstonetopdecks.com/decks/vipers-battlecry-shaman-hct-summer-championship-2018/,9420,2,Viper,"June 21, 2018",Raven,Combo,Tournament
51,Viper’s Miracle Rogue – HCT Summer Championship 2018,Rogue,AAEBAaIHBLICrwSXBt0IDbQBjALNA70EmwWIB6QHhgmBwgLrwgLc0QLb4wKm7wIA,https://www.hearthstonetopdecks.com/decks/vipers-miracle-rogue-hct-summer-championship-2018/,6520,-1,Viper,"June 21, 2018",Raven,Midrange,Tournament
51,YuYi’s Even Shaman – HCT Summer Championship 2018,Shaman,AAEBAaoICiCZAv4FigfzwgLCzgKr5wL27AKn7gLN9AIKvQHTAdkH8AexCJHBApvLApboApTvArDwAgA=,https://www.hearthstonetopdecks.com/decks/yuyis-even-shaman-hct-summer-championship-2018/,12420,3,YuYi,"June 21, 2018",Raven,Midrange,Tournament
51,XiaoT’s Recruit Hunter – HCT Summer Championship 2018,Hunter,AAEBAR8K8gXFCPgI68ICws4ChtMC5+ECnOICtuoCgPMCCo0BxsICysMCm8sCnM0C080C3dIC4eMC7eoC8vECAA==,https://www.hearthstonetopdecks.com/decks/xiaots-recruit-hunter-hct-summer-championship-2018/,11560,11,XiaoT,"June 21, 2018",Raven,Midrange,Tournament
51,YuYi’s Even Warlock – HCT Summer Championship 2018,Warlock,AAEBAf0GBooBigegzgLCzgKX0wLN9AIM8gX7BrYH4Qf7B40I58sC8dAC/dACiNIC2OUC6uYCAA==,https://www.hearthstonetopdecks.com/decks/yuyis-even-warlock-hct-summer-championship-2018/,7720,11,YuYi,"June 21, 2018",Raven,Control,Tournament
51,XiaoT’s Spiteful Druid – HCT Summer Championship 2018,Druid,AAEBAZICCK8EtAXeBcrLAqDOApnTApziAv3qAgvyBZfBAuvCApvLAofOApHQAtHhAvnmAtDnAtfrAovuAgA=,https://www.hearthstonetopdecks.com/decks/xiaots-spiteful-druid-hct-summer-championship-2018/,9060,4,XiaoT,"June 21, 2018",Raven,Midrange,Tournament
51,Dog’s 50 – 0 Wild Odd Rogue – June 2018,Rogue,AAEBAaIHBq8E+g6eEJG8AsrLAp74AgyMAqgF1AXdCPMRuhObFZK2AoHCAuvCAtHhAqbvAgA=,https://www.hearthstonetopdecks.com/decks/dogs-50-0-wild-odd-rogue-june-2018/,10680,78,Dog,"June 22, 2018",Wild,Aggro,Ladder
51,Brian Kibler’s Overload Shaman – June 2018,Shaman,AAEBAaoIApfHAqfuAg7uAZQD+QOBBPUEsgb1CMfBAv7NAo3OArrSAsPSAvPnAp7wAgA=,https://www.hearthstonetopdecks.com/decks/brian-kiblers-overload-shaman-june-2018/,6720,65,Brian Kibler,"June 21, 2018",Raven,Midrange,Fun
